Material Cost (R),Material Charges (R),Asset ID,Install Date,Asset MFG Date,In Service?,Model Number,Model Number MFG,Manufacturer ID
0,0,138448,10/31/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
58.74,73.43,EE151704,7/24/2019,9/9/2015,TRUE,PROGRESSA,P7500,HILL-ROM
835.42,913.44,064826,8/24/2018,,TRUE,TOTALCARE,P1830ACAP,HILL-ROM
0,0,136862,1/28/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
0,0,176892,4/12/2022 5:17,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
948,9935.04,EE191211,12/23/2020,,TRUE,CENTRELLA,P7900,HILL-ROM
0,0,EE65699,11/19/2020,9/30/2020,TRUE,CENTRELLA,P7900B100223,HILL-ROM
736.75,737.5,125445,10/20/2016,10/1/2007,TRUE,GYNNIE,1061,Stryker
0,0,29325,9/13/2022,7/1/2020,TRUE,PRIME ZOOM,1125,Stryker
0,0,068701,2/28/2017,1/1/2000,TRUE,POWER PRO XT,6500,Stryker
0,0,131022,10/21/2019,10/1/2014,TRUE,ENTERPRISE,9800,Arjo
0,0,136906,1/30/2019,,TRUE,CENTRELLA,P7900B,HILL-ROM
0,0,15013,3/1/2023,12/1/2010,TRUE,S3,3002,Stryker
0,0,MX1993220,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
0,0,MX2064036,12/7/2020,2/17/2020,TRUE,CENTRELLA,P7900,HILL-ROM
0,0,176763,4/12/2022 7:30,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
0,0,EE144612,2/14/2024,,TRUE,Procuity,,Stryker
0,0,EE45633,10/22/2015,10/30/2014,TRUE,VERSACARE,P3200J,HILL-ROM
0,0,MX1645475,5/13/2019,9/21/2017,TRUE,VERSACARE,P3200K000122,HILL-ROM
0,0,125425,11/16/2016,6/1/2009,TRUE,M-SERIES,1015,Stryker
154.97,178.22,EE123687,2/24/2020,11/1/2013,TRUE,ZOOM,1125,Stryker
0,0,138466,11/1/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
0,0,MX1771305,11/5/2019,,TRUE,1000,P1160B,HILL-ROM
0,0,MX1993017,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
0,0,19851,9/9/2022,,TRUE,SPIRIT SELECT,N3A02BCEFM,CHG
0,0,EE144725,2/14/2024,,TRUE,Procuity,,Stryker
0,0,EE145254,2/14/2024,,TRUE,Procuity,,Stryker
0,0,EE69921,12/20/2021,10/29/2021,TRUE,CENTRELLA,P7900B200468,HILL-ROM
0,0,MX163268,4/5/2019,,TRUE,VERSACARE,P3200,HILL-ROM
0,0,MX1675782,12/10/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
